stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,10.32,10.32,0,0,0,0,0,0,0
12hpf,9.64,3.86,0,0,1.93,0,0,1.93,1.93
14hpf,10.03,0,0,3.34,6.69,10.03,0,0,0
16hpf,51.27,2.05,0,0,2.05,2.05,0,0,6.15
19hpf,151.05,0,0,0,0,2.19,0,0,0
24hpf,97,0,0,2,4,2,1,0,2
2dpf,216.03,3.34,1.67,12.51,73.4,100.09,10.01,30.86,10.84
3dpf,468.34,2.87,0.57,3.45,14.94,86.2,0,2.87,4.6
5dpf,53.75,4.65,5.17,10.85,9.3,72.87,1.03,3.62,38.25
10dpf,101.03,1.88,0.63,6.28,5.65,32,0.63,3.14,3.77
