stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,0,0,0,0.83,2.5,0,0
3dpf,13.79,0,0.57,0,8.05,0,0.57
5dpf,0,0.52,0,0.52,3.62,0,0
10dpf,0.63,0,0,0,3.14,0.63,0
