stage,central_nervous_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
24hpf,0,1,0,0,0
2dpf,0.83,9.17,2.5,0.83,0.83
3dpf,16.09,2.3,4.02,0.57,0
5dpf,10.34,0,2.58,1.03,4.65
10dpf,13.18,0.63,1.88,0,0.63
