stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,30.97,0,0,0,20.65,0,0,10.32,0,30.97
12hpf,67.47,3.86,1.93,5.78,11.57,5.78,0,25.06,30.84,32.77
14hpf,46.81,0,6.69,13.38,6.69,23.41,0,0,6.69,60.19
16hpf,88.19,12.3,8.2,12.3,20.51,10.25,4.1,6.15,22.56,61.52
19hpf,76.62,4.38,0,0,19.7,4.38,2.19,0,4.38,17.51
24hpf,79,2,10,8,18,8,18,0,34,10
2dpf,237.71,5,29.19,38.37,83.41,180.16,47.54,2.5,46.71,106.76
3dpf,683.83,9.77,8.62,18.39,13.22,175.27,7.47,0,15.52,24.14
5dpf,91.48,20.16,51.68,63.05,23.77,279.09,31.01,9.82,70.81,160.22
10dpf,339.5,25.1,33.89,56.48,24.47,293.69,18.83,0.63,47.69,60.87
