stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,103.23,0,0,0,0,0,0,0,41.29
12hpf,0,0,0,0,0,0,0,0,1.93
14hpf,83.6,0,10.03,3.34,10.03,0,3.34,20.06,13.38
16hpf,106.64,2.05,2.05,0,28.71,0,0,34.86,20.51
19hpf,413.76,0,0,4.38,6.57,2.19,0,6.57,19.7
24hpf,82,0,2,3,20,0,0,5,4
2dpf,140.12,1.67,6.67,7.51,105.93,17.52,1.67,9.17,20.02
3dpf,181.59,1.72,0.57,2.87,1.15,6.9,0,2.3,4.6
5dpf,19.12,0.52,9.3,2.07,9.3,8.27,0.52,4.65,11.89
10dpf,9.41,0,1.88,0,0,0.63,0,0,1.26
