stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0
12hpf,28.92,0,0,0,0,0,0,0,0
14hpf,76.91,0,0,23.41,3.34,3.34,0,6.69,0
16hpf,94.34,0,0,38.97,0,0,0,4.1,2.05
19hpf,78.81,0,0,32.84,0,0,0,0,0
24hpf,54,0,1,2,0,0,0,5,0
2dpf,124.28,1.67,5,14.18,1.67,3.34,0,0.83,5
3dpf,101.14,1.15,1.72,6.9,2.3,17.24,0.57,1.15,0
5dpf,72.36,2.07,19.12,13.44,3.1,18.09,1.55,3.1,9.3
10dpf,50.2,2.51,12.55,12.55,0,16.32,0,0,0
