stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,41.29
12hpf,11.57,0,0,0,0,0,0,1.93,161.93
14hpf,0,0,0,3.34,0,0,0,0,50.16
16hpf,22.56,0,0,0,2.05,0,4.1,0,280.96
19hpf,0,0,0,0,0,0,0,0,118.22
24hpf,3,0,0,0,0,0,0,0,75
2dpf,0.83,0,0,0.83,0,0.83,0,0,11.68
3dpf,12.07,2.87,0.57,1.15,1.15,3.45,0,0,17.81
5dpf,5.69,0.52,2.58,1.03,0,13.44,0,1.03,48.07
10dpf,7.53,4.39,2.51,2.51,0.63,7.53,0,0.63,34.51
