stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme
3dpf,0.57,0,0,0,0
5dpf,0,0,1.03,0,0
10dpf,1.26,0.63,0,0.63,0.63
