stage,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
2dpf,0,0.83,3.34,0,5.84
3dpf,0,0.57,0.57,0.57,0
5dpf,0,4.65,0,0,1.55
10dpf,1.88,1.88,0,0,1.88
