stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,123.88,0,0,0,20.65,0,0,0,20.65,20.65
12hpf,146.51,13.49,3.86,3.86,53.98,7.71,0,7.71,119.52,50.12
14hpf,127.07,0,0,6.69,20.06,10.03,3.34,0,36.78,33.44
16hpf,246.1,6.15,59.47,18.46,63.58,43.07,10.25,0,155.86,90.24
19hpf,435.65,2.19,45.97,19.7,65.68,26.27,30.65,2.19,94.13,78.81
24hpf,468,3,178,7,86,50,22,0,211,42
2dpf,475.42,36.7,80.91,65.06,227.7,386.18,66.73,7.51,187.67,199.34
3dpf,553.38,17.81,25.28,12.64,12.64,156.3,8.05,0,20.69,63.79
5dpf,138.51,20.67,115.25,53.75,30.49,370.57,24.81,16.54,113.7,348.86
10dpf,178.85,42.67,62.75,33.26,12.55,224.66,11.92,1.26,64.64,65.26
