stage,intermediate_mesoderm,lateral_mesoderm,neural_crest,periderm
2dpf,1.67,0,0,0
3dpf,2.3,0,0,0.57
5dpf,1.55,0.52,0.52,0
10dpf,1.26,0,0,0
