stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,1.67,0.83,8.34,1.67,1.67,0
3dpf,1.72,2.87,0,0,1.15,0.57
5dpf,0.52,2.58,2.58,0,1.55,1.03
10dpf,1.26,3.77,0,0,0.63,0
