stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,neural_crest,paraxial_mesoderm,periderm
2dpf,0.83,0,0,0.83,2.5,0.83,4.17
3dpf,2.3,0,0,0,0,0,2.87
5dpf,0,0.52,0.52,0,0,0,2.07
