stage,central_nervous_system,endoderm,lateral_mesoderm,periderm
2dpf,0,0,0.83,15.85
3dpf,0.57,0.57,1.72,1.72
5dpf,0.52,0,0,7.24
10dpf,0,0,0,19.45
