stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,82.58,0,0,0,10.32,0,0,0,0,30.97
12hpf,5.78,0,0,0,5.78,0,0,0,0,5.78
14hpf,23.41,3.34,0,10.03,20.06,0,0,0,3.34,20.06
16hpf,10.25,2.05,0,0,16.41,0,0,2.05,2.05,30.76
19hpf,10.95,0,0,2.19,24.08,8.76,0,0,0,15.32
24hpf,7,1,0,0,42,13,1,0,8,1
2dpf,46.71,1.67,1.67,11.68,208.52,353.65,5,0,92.58,16.68
3dpf,24.14,0.57,0.57,4.02,36.2,548.21,1.72,0,17.24,10.92
5dpf,58.4,5.69,2.07,19.12,38.25,400.03,6.2,1.03,31.01,34.11
10dpf,28.87,1.26,0.63,7.53,10.67,224.03,0,0,6.28,4.39
