stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,neural_crest,notochord,periderm
2dpf,0,0,0,0,0,0.83,0
3dpf,14.94,0,0,0,0,0,0
5dpf,1.03,0,0,1.03,0.52,1.03,2.07
10dpf,4.39,0.63,0.63,0,0,0,7.53
