stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,10.32
12hpf,0,0,1.93,0,0,0,0,0,0
14hpf,3.34,0,0,3.34,0,0,0,0,3.34
16hpf,2.05,0,0,0,0,0,0,2.05,2.05
19hpf,2.19,0,0,0,0,0,0,0,0
24hpf,1,0,0,0,0,1,1,0,2
2dpf,40.87,1.67,2.5,5.84,19.18,36.7,1.67,15.85,25.02
3dpf,217.22,2.87,1.72,4.02,1.72,44.25,2.87,4.02,7.47
5dpf,16.54,1.55,8.27,10.34,2.58,43.93,5.17,9.3,27.39
10dpf,62.75,2.51,6.28,1.26,0.63,18.2,1.26,0.63,4.39
