stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,72.26,0,0,0,10.32,10.32,0,20.65,30.97,51.61
12hpf,134.94,9.64,3.86,15.42,67.47,9.64,0,40.48,79.04,63.62
14hpf,46.81,0,0,3.34,3.34,3.34,0,6.69,23.41,13.38
16hpf,69.73,6.15,4.1,8.2,20.51,6.15,2.05,4.1,63.58,36.91
19hpf,85.38,0,2.19,0,8.76,0,2.19,2.19,6.57,8.76
24hpf,36,0,6,6,13,3,3,0,21,5
2dpf,291.93,1.67,11.68,34.2,95.92,171.82,25.86,3.34,68.39,82.57
3dpf,1088.38,14.94,9.19,13.22,16.09,247.1,8.62,0,15.52,36.78
5dpf,85.28,8.27,36.18,35.14,22.74,195.36,9.82,10.34,39.8,133.86
10dpf,321.92,13.81,45.18,40.16,19.45,173.2,15.69,0.63,25.1,44.55
