stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest
2dpf,0,2.5,0,0,0,0
3dpf,0,2.87,0.57,0.57,1.72,0
5dpf,0.52,19.64,0.52,0.52,3.62,0.52
10dpf,0,16.32,0.63,1.88,0.63,0
