stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,278.72,0,0,0,82.58,10.32,0,196.14,815.51
12hpf,21.21,0,0,0,21.21,1.93,0,11.57,158.08
14hpf,0,0,0,0,6.69,0,0,33.44,3.34
16hpf,2.05,0,0,0,0,0,0,18.46,2.05
19hpf,0,0,0,0,0,0,0,13.14,0
24hpf,0,0,0,0,1,0,0,11,1
2dpf,0.83,0,0,4.17,13.35,16.68,0.83,0.83,0.83
3dpf,7.47,1.15,0.57,2.3,1.72,13.79,0,1.72,0
5dpf,1.55,0,0.52,4.65,2.07,15.5,0,2.07,2.07
10dpf,2.51,0,0.63,5.02,0.63,11.92,0,0,0
