stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,10.32
12hpf,1.93,0,0,0,1.93,0,0,0,15.42
14hpf,13.38,0,0,0,0,20.06,0,0,107
16hpf,14.36,0,0,0,2.05,16.41,0,4.1,100.49
19hpf,0,0,0,0,0,4.38,0,0,65.68
24hpf,6,0,0,0,1,36,0,2,18
2dpf,5,0,0,0,0,1.67,2.5,3.34,1.67
3dpf,2.3,0,0,0.57,0,18.96,0,0,1.72
5dpf,1.03,0.52,1.55,2.07,0,17.57,0.52,5.69,2.58
10dpf,1.88,0,0,1.26,0,24.47,1.26,2.51,0
