stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,371.63,30.97,0,0,123.88,20.65,20.65,1114.88,30.97
12hpf,9.64,0,0,0,1.93,0,0,134.94,3.86
14hpf,20.06,0,0,0,10.03,0,0,407.95,0
16hpf,2.05,0,0,0,0,0,0,49.22,0
19hpf,0,0,0,0,0,0,2.19,89.76,0
24hpf,2,0,0,0,1,0,1,61,0
2dpf,1.67,0,0.83,0.83,0,1.67,0,2.5,6.67
3dpf,3.45,0,0.57,0,1.15,5.17,0,0.57,1.15
5dpf,2.07,0,0,0.52,0,6.2,0,1.55,4.65
10dpf,3.14,0,0.63,0,0,3.77,0,0.63,1.26
