stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0
12hpf,7.71,0,0,0,0,0,0,1.93,0
14hpf,10.03,0,0,16.72,0,0,0,3.34,0
16hpf,18.46,0,0,26.66,0,0,0,0,0
19hpf,28.46,0,0,19.7,0,0,0,0,4.38
24hpf,15,0,0,0,1,0,0,1,1
2dpf,112.6,0,0,11.68,12.51,14.18,1.67,4.17,2.5
3dpf,45.4,1.72,0,3.45,2.87,22.99,0,0.57,2.3
5dpf,70.29,0,1.03,8.79,0.52,12.4,1.03,1.03,6.72
10dpf,40.16,0.63,0.63,5.65,1.26,32.63,0.63,0.63,4.39
