stage,endoderm,hematopoietic_system,mesenchyme,paraxial_mesoderm,periderm
19hpf,0,6.57,0,0,6.57
24hpf,0,15,0,1,0
2dpf,0,13.35,0,0,1.67
3dpf,0,7.47,0,0,1.72
5dpf,1.03,46,1.55,0,9.82
10dpf,0,21.34,1.26,0.63,0
