stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0
12hpf,34.7,0,0,3.86,0,0,0,1.93,13.49
14hpf,20.06,0,3.34,0,0,0,0,0,6.69
16hpf,10.25,0,0,0,4.1,2.05,0,12.3,4.1
19hpf,19.7,0,0,0,2.19,0,0,0,4.38
24hpf,16,1,2,2,4,0,0,2,2
2dpf,27.52,4.17,3.34,4.17,19.18,12.51,5,17.52,14.18
3dpf,52.29,8.05,2.87,1.15,5.17,15.52,3.45,1.15,12.07
5dpf,12.92,7.75,16.02,7.75,4.13,32.04,5.17,11.89,42.38
10dpf,35.14,5.65,13.18,6.28,1.26,12.55,4.39,6.9,7.53
