stage,central_nervous_system,hematopoietic_system,mesenchyme,neural_crest,paraxial_mesoderm
3dpf,20.11,0.57,1.72,0,0.57
5dpf,0,0,1.55,0.52,0
10dpf,4.39,0,0,0,0.63
