stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,0,0,0,0,0.83,0,4.17
3dpf,1.72,0,0,1.72,0,0,6.9
5dpf,0,0,0,2.58,0,0,26.88
10dpf,1.26,0.63,0.63,3.77,0,0.63,3.77
