stage,central_nervous_system,intermediate_mesoderm,mesenchyme,notochord,periderm
2dpf,0,2.5,0,0,0.83
3dpf,1.72,1.72,0.57,0,0
5dpf,0.52,9.3,3.1,0.52,3.62
10dpf,0,5.02,0.63,0,0.63
