stage,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0.83,3.34,0,0
3dpf,0,1.72,8.62,0,0
5dpf,1.55,0.52,5.17,0.52,0.52
10dpf,0,1.88,5.65,0.63,0
