stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,1.67,0,0,0,0,0,0,0
3dpf,14.37,0,0,0.57,2.3,0,0,0.57
5dpf,1.55,0,2.58,0.52,2.07,0.52,0,0
10dpf,7.53,0.63,1.26,0,3.14,0,1.26,0.63
