stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme
2dpf,0.83,0,0,0
3dpf,0.57,0.57,0,0.57
5dpf,0,0,3.1,0.52
10dpf,1.26,0,4.39,0
