stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,20.65,0,20.65,0,10.32,0,0,0,10.32,10.32
12hpf,28.92,0,5.78,1.93,5.78,0,0,5.78,5.78,13.49
14hpf,100.32,0,0,3.34,16.72,6.69,0,6.69,10.03,16.72
16hpf,139.46,6.15,2.05,8.2,41.02,10.25,2.05,6.15,22.56,24.61
19hpf,256.13,2.19,0,4.38,19.7,8.76,2.19,0,6.57,26.27
24hpf,221,4,3,13,71,38,6,0,29,21
2dpf,659.75,14.18,53.38,75.9,286.92,455.41,57.55,10.01,155.14,182.66
3dpf,1276.29,16.66,19.54,39.08,47.7,503.39,15.52,0,36.2,74.13
5dpf,236.19,23.77,97.68,101.82,49.62,478.07,29.46,22.74,86.31,334.91
10dpf,500.14,18.2,104.17,58.99,14.43,238.46,20.08,0.63,28.24,56.48
