stage,central_nervous_system,endoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0,0.83,0,0.83
3dpf,17.81,0.57,0,0,0.57
5dpf,0.52,1.03,5.17,1.03,2.07
10dpf,13.81,0,1.26,0,0
