stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest
2dpf,0.83,0,10.01,0,12.51,0
3dpf,1.15,0,9.19,0,12.07,0
5dpf,0,0,6.72,0.52,12.4,0
10dpf,0,0.63,7.53,0,14.43,0.63
