stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0,0,0.83,1.67,0,1.67
3dpf,10.92,0,0,2.3,0,1.15
5dpf,1.55,0.52,1.03,5.17,0.52,3.62
10dpf,4.39,1.26,1.26,0.63,0,2.51
