stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,neural_crest,periderm
2dpf,0.83,0,0,0,0.83,5.84
3dpf,6.32,0,0,0,0,0
5dpf,2.07,0.52,0.52,0.52,0,0
10dpf,1.88,0,0,0,0,0
