stage,central_nervous_system,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
2dpf,2.5,2.5,1.67,0,0.83,0.83,0
3dpf,1.72,0,4.02,1.15,0,0.57,0
5dpf,0,0.52,3.62,0,0,0,0.52
10dpf,1.88,0.63,3.14,0.63,0,0,0
