stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,periderm
3dpf,4.02,0.57,0,0.57,0.57,0,0.57
5dpf,1.55,0,0.52,1.03,1.03,0.52,2.07
10dpf,9.41,0,0,0.63,1.88,0,1.26
