stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,609.05,10.32,0,0,72.26,0,0,588.41,10.32
12hpf,628.45,5.78,0,0,107.95,1.93,3.86,640.01,36.63
14hpf,294.26,6.69,0,0,10.03,3.34,3.34,224.04,23.41
16hpf,141.51,0,0,0,14.36,2.05,0,71.78,18.46
19hpf,212.35,0,0,0,10.95,0,0,45.97,2.19
24hpf,53,0,0,0,1,2,1,23,1
2dpf,23.35,0,0.83,0,1.67,3.34,0,0.83,0.83
3dpf,5.17,0.57,0,0.57,0,9.19,0,0,1.15
5dpf,4.65,0.52,1.55,2.07,0,10.34,0,1.55,1.55
10dpf,5.02,0,0,0.63,0,1.26,0,0,0
