stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,periderm
24hpf,1,0,0,0,0,0,0
2dpf,5,0,0.83,4.17,0,0.83,0.83
3dpf,22.41,0,0.57,6.32,0,0,0
5dpf,4.13,2.07,0,5.69,0,0,2.07
10dpf,35.14,1.26,0,4.39,0.63,0,0
