stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,neural_crest,paraxial_mesoderm,periderm
12hpf,0,13.49,0,0,0,0,0
14hpf,0,0,3.34,0,0,0,0
16hpf,0,14.36,0,0,0,0,0
2dpf,0,0,0,0,1.67,0,0
3dpf,0.57,0,0,0.57,0.57,0,0
5dpf,0.52,0,0.52,1.03,2.07,0.52,0.52
10dpf,0,0,0,0,1.26,0,0
