stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
12hpf,0,0,0,0,5.78,7.71,0,0
2dpf,0.83,0,1.67,0,0,0,0,0
3dpf,9.19,0,4.02,0,0,1.15,0,0
5dpf,6.2,0,10.34,1.03,0.52,0.52,1.03,0.52
10dpf,23.85,0.63,6.9,0,0,3.14,0,0
