stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme
2dpf,0,0,0.83,8.34,0
3dpf,2.3,0,1.15,5.17,1.15
5dpf,0.52,0.52,1.55,15.5,0
10dpf,3.77,0.63,1.26,12.55,1.26
