stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,929.06,10.32,20.65,0,165.17,10.32,0,41.29,402.59,330.33
12hpf,1449.67,44.34,25.06,55.9,375.91,80.97,3.86,146.51,981.22,510.85
14hpf,749.03,10.03,63.53,63.53,113.69,93.63,10.03,23.41,254.13,270.85
16hpf,1784.21,90.24,135.35,151.76,471.69,231.74,47.17,63.58,773.16,730.09
19hpf,3771.97,37.22,116.03,98.51,481.62,205.78,151.05,24.08,391.86,1258.78
24hpf,2222,28,365,119,449,215,144,16,1174,405
2dpf,936.67,37.53,150.13,150.97,417.04,753.17,180.99,23.35,392.02,328.63
3dpf,2777.26,109.76,129.3,112.06,63.79,833.24,32.75,0,80.45,182.74
5dpf,686.35,109.05,440.85,413.46,133.34,1754.63,120.94,75.97,483.75,1460.04
10dpf,1969.2,235.32,327.57,350.16,77.19,1470.31,71.54,1.88,293.06,326.32
