stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,10.32
12hpf,0,0,0,0,0,0,0,0,7.71
14hpf,0,0,0,0,0,6.69,0,0,6.69
16hpf,0,0,2.05,0,0,16.41,0,0,4.1
19hpf,6.57,0,2.19,0,0,6.57,0,0,2.19
24hpf,2,0,2,0,0,15,0,0,1
2dpf,9.17,0,7.51,0.83,2.5,14.18,0,1.67,33.36
3dpf,11.49,1.15,5.75,1.15,1.72,29.88,0,0.57,33.9
5dpf,4.13,0,15.5,1.03,1.03,10.85,1.55,0,63.57
10dpf,2.51,0,15.69,0.63,0,4.39,3.14,0,14.43
