stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,periderm
10hpf,10.32,0,0,0,0,0
2dpf,73.4,0,10.01,0,0,0
3dpf,18.96,0,1.72,0.57,0,0.57
5dpf,43.93,1.03,3.1,1.03,0.52,0.52
10dpf,10.67,0.63,1.88,0.63,0.63,0
