stage,endoderm,intermediate_mesoderm,mesenchyme,periderm
2dpf,0,1.67,0,0
3dpf,0.57,0,0,1.15
5dpf,2.58,0.52,0.52,6.2
10dpf,1.88,0,0,5.02
