stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0
12hpf,1.93,0,0,0,5.78,0,0,0,0
14hpf,3.34,0,0,0,0,0,0,0,0
16hpf,0,0,24.61,22.56,0,0,0,0,0
19hpf,13.14,0,0,35.03,4.38,0,0,0,0
24hpf,6,0,2,41,1,1,0,1,5
2dpf,19.18,0,0,30.03,20.85,83.41,0,7.51,4.17
3dpf,4.02,1.15,0,15.52,4.02,368.92,0,0.57,1.15
5dpf,12.92,4.65,10.34,91.48,14.47,450.16,1.55,23.77,17.57
10dpf,2.51,0.63,0.63,12.55,2.51,152.49,0,1.26,1.26
