stage,hematopoietic_system,mesenchyme,paraxial_mesoderm,periderm
24hpf,1,0,0,0
2dpf,2.5,0,0.83,0.83
3dpf,4.6,0,0,0
5dpf,26.36,0.52,0,0.52
10dpf,12.55,0.63,0,0.63
