stage,central_nervous_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,0.83,0.83,0,0
3dpf,16.09,0,17.24,0
5dpf,1.03,1.55,4.13,0
10dpf,5.02,0,3.77,0.63
