stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,1.67,0.83,2.5,0.83,0.83,0.83,0.83
3dpf,5.17,0,0.57,0,0.57,0,0.57
5dpf,0,2.58,1.03,1.03,0,0,1.03
10dpf,0.63,1.26,0,1.26,0,0,0
