stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
3dpf,0,0.57,0,0,0.57,0,0.57
5dpf,1.03,1.03,0.52,0,0,0.52,0
10dpf,20.08,0,0,0.63,0.63,0,0
