stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,960.03,10.32,0,0,154.84,20.65,0,30.97,629.7,340.66
12hpf,1195.21,52.05,3.86,67.47,345.07,48.19,1.93,96.39,1069.9,356.63
14hpf,728.96,20.06,80.25,76.91,220.69,83.6,10.03,20.06,514.95,277.54
16hpf,436.82,16.41,100.49,22.56,178.42,67.68,22.56,10.25,305.57,164.07
19hpf,343.7,4.38,15.32,4.38,37.22,15.32,8.76,0,76.62,59.11
24hpf,301,5,29,9,55,35,5,0,122,35
2dpf,272.74,13.35,21.69,31.69,120.94,234.38,30.03,5.84,96.75,99.26
3dpf,801.06,25.28,18.39,21.26,22.99,328.12,8.62,0,31.03,77.58
5dpf,146.78,22.22,54.27,66.15,33.59,431.55,20.16,34.63,108.53,338.52
10dpf,549.72,48.32,84.09,78.44,35.77,463.12,20.08,0.63,90.36,75.93
