stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,neural_crest,periderm
2dpf,0.83,0,0,0.83,0,0.83
3dpf,0,0,0.57,0,0.57,0.57
5dpf,0,0,0,0,0,1.03
10dpf,10.04,0.63,0,0,0.63,0
