stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,0,227.1
12hpf,3.86,0,0,0,1.93,1.93,0,0,0,460.73
14hpf,140.44,6.69,0,0,13.38,23.41,0,0,0,1063.35
16hpf,104.59,57.42,0,24.61,53.32,10.25,0,0,6.15,561.92
19hpf,170.76,32.84,0,19.7,96.32,2.19,6.57,0,0,814.38
24hpf,70,59,0,4,95,25,5,1,13,248
2dpf,384.51,30.86,10.84,37.53,197.68,313.61,30.03,4.17,155.14,606.37
3dpf,1455.58,59.19,4.6,14.37,43.67,537.29,2.87,0,84.47,230.43
5dpf,392.79,92,22.74,54.78,81.14,649.14,31.01,25.84,154.01,1183.02
10dpf,837.76,97.9,10.04,47.69,72.79,364.6,27.61,0,69.66,244.74
