stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,periderm
24hpf,0,0,118,0,0,0,0,0,0
2dpf,3.34,0,122.61,0.83,0.83,0.83,0.83,0.83,4.17
3dpf,2.87,1.15,52.29,3.45,0,1.72,0,0,0
5dpf,1.55,0.52,165.39,12.92,0.52,5.69,0.52,0.52,5.17
10dpf,6.9,1.26,163.16,13.18,0,1.88,0.63,0,0.63
