stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,423.24,0,0,0,61.94,10.32,0,0,0
12hpf,356.63,0,0,0,127.23,61.69,0,3.86,34.7
14hpf,284.23,0,0,0,63.53,76.91,0,3.34,90.28
16hpf,153.81,0,0,0,22.56,26.66,2.05,2.05,67.68
19hpf,278.03,0,0,0,4.38,6.57,0,0,15.32
24hpf,155,0,2,1,0,3,0,11,1
2dpf,54.21,0,2.5,0,11.68,27.52,3.34,15.01,3.34
3dpf,329.85,1.15,0.57,0,0,12.07,0,1.15,1.72
5dpf,17.57,0,1.03,1.03,2.07,13.95,1.03,1.55,5.69
10dpf,143.08,1.26,0.63,1.26,0,10.04,2.51,2.51,1.26
