stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,20.65,0,0,0,10.32,0,0,0,0
12hpf,30.84,0,0,0,0,0,0,3.86,3.86
14hpf,16.72,0,3.34,0,3.34,0,0,3.34,0
16hpf,63.58,2.05,0,12.3,0,0,0,2.05,0
19hpf,94.13,0,0,17.51,0,0,0,0,2.19
24hpf,39,0,0,0,0,1,0,0,1
2dpf,249.39,0.83,0.83,12.51,10.01,29.19,1.67,5,4.17
3dpf,78.73,0.57,0,6.32,4.02,18.39,0,0,0.57
5dpf,82.18,0,1.03,8.79,1.03,11.37,0,1.03,2.58
10dpf,35.14,0,0.63,7.53,0.63,11.92,0,1.88,0
