stage,central_nervous_system,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0,2.5,0.83,0.83,0
3dpf,12.64,2.87,0.57,0,0
5dpf,0,3.1,0,0,0.52
10dpf,6.28,3.14,0,0,0.63
