stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,paraxial_mesoderm,periderm
2dpf,0,0,0,0.83,0,0,5
3dpf,2.3,0.57,0,0,0,0,4.02
5dpf,1.55,0.52,0,0,0.52,0.52,6.72
10dpf,1.26,1.88,1.26,0,0,0,6.9
