stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm
3dpf,0.57,2.87,0,0,0.57,0.57,0
5dpf,0.52,2.07,0,0.52,0,0,0.52
10dpf,0,1.26,0.63,0,0,1.26,0
