stage,central_nervous_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,0.83,0,0,2.5,0,0
3dpf,3.45,0,0,0,0,0
5dpf,0.52,0.52,2.58,0,1.03,6.2
10dpf,0.63,0,0.63,0,0,0
