stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
19hpf,2.19,0,0,0,0,0,0,0
24hpf,1,0,0,0,0,0,0,0
3dpf,5.75,0,0,2.87,0,0,0,1.72
5dpf,4.65,12.4,1.03,5.17,1.55,0.52,1.55,11.37
10dpf,4.39,7.53,0.63,0,0,0,0,5.65
