stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0
12hpf,0,0,0,0,0,0,0,0,3.86
14hpf,10.03,0,0,0,0,0,0,3.34,6.69
16hpf,28.71,0,0,0,0,0,0,0,2.05
19hpf,8.76,0,0,0,0,0,0,0,0
24hpf,31,0,0,0,1,0,0,0,0
2dpf,14.18,0,0,0,6.67,6.67,0.83,1.67,0.83
3dpf,271.23,1.15,1.15,5.75,0.57,15.52,0,1.72,0.57
5dpf,14.99,0,0.52,18.61,0,4.65,0,0.52,4.13
10dpf,87.23,0,0.63,3.77,0.63,3.77,0,1.26,1.88
